date,project,downloads
2023-05-14,pandas,2674385
2023-05-14,prophet,30091
2023-05-15,pandas,4121492
2023-05-15,prophet,57750
2023-05-16,pandas,4394117
2023-05-16,prophet,65879
2023-05-17,pandas,4408341
2023-05-17,prophet,61459
2023-05-18,pandas,4133583
2023-05-18,prophet,47675
2023-05-19,pandas,4124948
2023-05-19,prophet,54599
2023-05-20,pandas,2816641
2023-05-20,prophet,27382
2023-05-21,pandas,2748061
2023-05-21,prophet,36519
2023-05-22,pandas,4061427
2023-05-22,prophet,60294
2023-05-23,pandas,4448856
2023-05-23,prophet,60193
2023-05-24,pandas,4409697
2023-05-24,prophet,59545
2023-05-25,pandas,4326246
2023-05-25,prophet,60635
2023-05-26,pandas,4098501
2023-05-26,prophet,52531
2023-05-27,pandas,2853489
2023-05-27,prophet,30873
2023-05-28,pandas,2742320
2023-05-28,prophet,37519
2023-05-29,pandas,3449296
2023-05-29,prophet,53400
2023-05-30,pandas,4284042
2023-05-30,prophet,58706
2023-05-31,pandas,4406280
2023-05-31,prophet,67307
2023-06-01,pandas,4528476
2023-06-01,prophet,68318
2023-06-02,pandas,4304214
2023-06-02,prophet,52211
2023-06-03,pandas,3046400
2023-06-03,prophet,30684
2023-06-04,pandas,2994594
2023-06-04,prophet,35490
2023-06-05,pandas,4610356
2023-06-05,prophet,58449
2023-06-06,pandas,4582475
2023-06-06,prophet,58284
2023-06-07,pandas,4612495
2023-06-07,prophet,54101
2023-06-08,pandas,4599050
2023-06-08,prophet,60336
2023-06-09,pandas,4419525
2023-06-09,prophet,61959
2023-06-10,pandas,2967056
2023-06-10,prophet,28376
2023-06-11,pandas,2926726
2023-06-11,prophet,27732
2023-06-12,pandas,4448015
2023-06-12,prophet,58703
2023-06-13,pandas,4640143
2023-06-13,prophet,56754
2023-06-14,pandas,4685381
2023-06-14,prophet,59326
2023-06-15,pandas,4550511
2023-06-15,prophet,52822
2023-06-16,pandas,4211952
2023-06-16,prophet,48355
2023-06-17,pandas,2967145
2023-06-17,prophet,28935
2023-06-18,pandas,2812021
2023-06-18,prophet,29857
2023-06-19,pandas,4060874
2023-06-19,prophet,47995
2023-06-20,pandas,4512269
2023-06-20,prophet,63893
2023-06-21,pandas,4458339
2023-06-21,prophet,55866
2023-06-22,pandas,4419445
2023-06-22,prophet,50193
2023-06-23,pandas,4208773
2023-06-23,prophet,44512
2023-06-24,pandas,3091122
2023-06-24,prophet,27434
2023-06-25,pandas,3045971
2023-06-25,prophet,29226
2023-06-26,pandas,4586639
2023-06-26,prophet,58590
2023-06-27,pandas,4647579
2023-06-27,prophet,52614
2023-06-28,pandas,4614479
2023-06-28,prophet,56358
2023-06-29,pandas,4579039
2023-06-29,prophet,47820
2023-06-30,pandas,4438687
2023-06-30,prophet,53019
2023-07-01,pandas,3180323
2023-07-01,prophet,30751
2023-07-02,pandas,3028254
2023-07-02,prophet,29396
2023-07-03,pandas,4311764
2023-07-03,prophet,82976
2023-07-04,pandas,4169863
2023-07-04,prophet,62062
2023-07-05,pandas,4536476
2023-07-05,prophet,55303
2023-07-06,pandas,4857336
2023-07-06,prophet,54326
2023-07-07,pandas,4577131
2023-07-07,prophet,53676
2023-07-08,pandas,3174709
2023-07-08,prophet,29951
2023-07-09,pandas,2972358
2023-07-09,prophet,33446
2023-07-10,pandas,4572450
2023-07-10,prophet,56567
2023-07-11,pandas,4827616
2023-07-11,prophet,64940
2023-07-12,pandas,4639884
2023-07-12,prophet,54987
2023-07-13,pandas,4565337
2023-07-13,prophet,55252
2023-07-14,pandas,4278397
2023-07-14,prophet,49815
2023-07-15,pandas,3118290
2023-07-15,prophet,30432
2023-07-16,pandas,3104653
2023-07-16,prophet,32377
2023-07-17,pandas,4590666
2023-07-17,prophet,68618
2023-07-18,pandas,4893681
2023-07-18,prophet,64594
2023-07-19,pandas,4903541
2023-07-19,prophet,67551
2023-07-20,pandas,4867645
2023-07-20,prophet,60082
2023-07-21,pandas,4527975
2023-07-21,prophet,60791
2023-07-22,pandas,3094440
2023-07-22,prophet,31842
2023-07-23,pandas,2953834
2023-07-23,prophet,33699
2023-07-24,pandas,4666741
2023-07-24,prophet,68305
2023-07-25,pandas,4949704
2023-07-25,prophet,69577
2023-07-26,pandas,5031247
2023-07-26,prophet,67702
2023-07-27,pandas,4988064
2023-07-27,prophet,66193
2023-07-28,pandas,4805945
2023-07-28,prophet,60083
2023-07-29,pandas,3289034
2023-07-29,prophet,29758
2023-07-30,pandas,3100425
2023-07-30,prophet,32506
2023-07-31,pandas,4823215
2023-07-31,prophet,65380
2023-08-01,pandas,5159037
2023-08-01,prophet,68597
2023-08-02,pandas,5186327
2023-08-02,prophet,69068
2023-08-03,pandas,5045022
2023-08-03,prophet,72471
2023-08-04,pandas,4689994
2023-08-04,prophet,61650
2023-08-05,pandas,3251872
2023-08-05,prophet,31663
2023-08-06,pandas,3126227
2023-08-06,prophet,33301
2023-08-07,pandas,4797447
2023-08-07,prophet,72624
2023-08-08,pandas,5099661
2023-08-08,prophet,65580
2023-08-09,pandas,5063858
2023-08-09,prophet,60371
2023-08-10,pandas,5006864
2023-08-10,prophet,66033
2023-08-11,pandas,4558277
2023-08-11,prophet,53404
2023-08-12,pandas,3250522
2023-08-12,prophet,33506
2023-08-13,pandas,3117593
2023-08-13,prophet,33701
2023-08-14,pandas,4656917
2023-08-14,prophet,58698
2023-08-15,pandas,4734448
2023-08-15,prophet,54765
2023-08-16,pandas,4923516
2023-08-16,prophet,63340
2023-08-17,pandas,4926503
2023-08-17,prophet,62169
2023-08-18,pandas,4562120
2023-08-18,prophet,57693
2023-08-19,pandas,3061867
2023-08-19,prophet,31998
2023-08-20,pandas,3021952
2023-08-20,prophet,35234
2023-08-21,pandas,4826530
2023-08-21,prophet,65815
2023-08-22,pandas,5215549
2023-08-22,prophet,71846
2023-08-23,pandas,5205292
