ds;city;pres;prcp
13.03.2021;Aachen;998.8;9.5
14.03.2021;Aachen;1010.2;2.5
15.03.2021;Aachen;1014.9;5.5
16.03.2021;Aachen;1024.2;4
17.03.2021;Aachen;1026.3;3.7
18.03.2021;Aachen;1024.6;1
19.03.2021;Aachen;1023.6;0.7
20.03.2021;Aachen;1028.9;0
21.03.2021;Aachen;1024.3;0
22.03.2021;Aachen;1025.6;0
23.03.2021;Aachen;1026.2;0
24.03.2021;Aachen;1023.1;0
25.03.2021;Aachen;1021;0
26.03.2021;Aachen;1017.2;0.4
27.03.2021;Aachen;1021.4;5
28.03.2021;Aachen;1024.3;1.08
29.03.2021;Aachen;1029.8;0
30.03.2021;Aachen;1030.1;0
31.03.2021;Aachen;1023;0
01.04.2021;Aachen;1021.1;0
02.04.2021;Aachen;1025.4;0
03.04.2021;Aachen;1027.1;0
04.04.2021;Aachen;1025;0
05.04.2021;Aachen;1012.9;2.8
06.04.2021;Aachen;1015.3;3.1
07.04.2021;Aachen;1019.1;5.6
08.04.2021;Aachen;1024.1;0
09.04.2021;Aachen;1015.4;0
10.04.2021;Aachen;1011.4;13.1
11.04.2021;Aachen;1012.7;13.9
12.04.2021;Aachen;1027.1;0.7
13.04.2021;Aachen;1032.4;0
14.04.2021;Aachen;1031.3;0
15.04.2021;Aachen;1030.3;0
16.04.2021;Aachen;1028.1;0
17.04.2021;Aachen;1025.4;0
18.04.2021;Aachen;1022.9;0
19.04.2021;Aachen;1020.4;1.4
20.04.2021;Aachen;1017.8;0
21.04.2021;Aachen;1017.7;0
22.04.2021;Aachen;1025.4;0
23.04.2021;Aachen;1028.8;0
24.04.2021;Aachen;1026.9;0
25.04.2021;Aachen;1026.3;0
26.04.2021;Aachen;1019.8;0
27.04.2021;Aachen;1010.4;0
28.04.2021;Aachen;1004.2;0
29.04.2021;Aachen;1005.6;1.3
30.04.2021;Aachen;1013.8;0
01.05.2021;Aachen;1014.5;0
02.05.2021;Aachen;1018.8;0
03.05.2021;Aachen;1019.1;0
04.05.2021;Aachen;1001.9;2.5
05.05.2021;Aachen;1006.8;3.8
06.05.2021;Aachen;1007.7;2.7
07.05.2021;Aachen;1014.2;1.8
08.05.2021;Aachen;1014.4;1.1
09.05.2021;Aachen;1004.1;0
10.05.2021;Aachen;1004.9;0
11.05.2021;Aachen;1009.1;3.1
12.05.2021;Aachen;1011.9;0.1
13.05.2021;Aachen;1008.1;1
14.05.2021;Aachen;1008.2;2.2
15.05.2021;Aachen;1005.4;3.9
16.05.2021;Aachen;1002.4;2.5
17.05.2021;Aachen;1004.5;4.6
18.05.2021;Aachen;1013.3;5.8
19.05.2021;Aachen;1017.2;3
20.05.2021;Aachen;1019.5;0
21.05.2021;Aachen;1006.5;0
22.05.2021;Aachen;1005;4.4
23.05.2021;Aachen;1013.4;1.6
24.05.2021;Aachen;1009.8;3.6
25.05.2021;Aachen;1013.4;8.3
26.05.2021;Aachen;1013.6;6.3
27.05.2021;Aachen;1018.4;1.8
28.05.2021;Aachen;1023.8;0
29.05.2021;Aachen;1025.6;0
30.05.2021;Aachen;1026.4;0
31.05.2021;Aachen;1022.1;0
01.06.2021;Aachen;1017.2;0
02.06.2021;Aachen;1014.7;0
03.06.2021;Aachen;1019.4;2.2
04.06.2021;Aachen;1020.6;2
05.06.2021;Aachen;1021;2.3
06.06.2021;Aachen;1024;0
07.06.2021;Aachen;1023.5;0
08.06.2021;Aachen;1023;0
09.06.2021;Aachen;1022;0
10.06.2021;Aachen;1021.3;0
11.06.2021;Aachen;1019.9;0
12.06.2021;Aachen;1021.5;0
13.06.2021;Aachen;1027;0
14.06.2021;Aachen;1021.4;0
15.06.2021;Aachen;1019.4;0
16.06.2021;Aachen;1014.4;0
17.06.2021;Aachen;1010.9;0
18.06.2021;Aachen;1012.6;0
19.06.2021;Aachen;1013.8;1
20.06.2021;Aachen;1008.5;5.2
21.06.2021;Aachen;1008.4;11.6
22.06.2021;Aachen;1015.3;8.2
23.06.2021;Aachen;1020.1;1.5
24.06.2021;Aachen;1020.3;0
25.06.2021;Aachen;1019;0
26.06.2021;Aachen;1018;0
27.06.2021;Aachen;1015.1;2.9
28.06.2021;Aachen;1013.9;0
29.06.2021;Aachen;1012.5;7.2
30.06.2021;Aachen;1013.3;12
01.07.2021;Aachen;1016.6;3.5
02.07.2021;Aachen;1017.9;0
03.07.2021;Aachen;1015.3;0.4
04.07.2021;Aachen;1011.3;4.4
05.07.2021;Aachen;1009.2;4.1
06.07.2021;Aachen;1007.1;1.5
07.07.2021;Aachen;1015.2;0
08.07.2021;Aachen;1020.1;3.4
09.07.2021;Aachen;1022;0
10.07.2021;Aachen;1017.6;3.1
11.07.2021;Aachen;1016.6;3
12.07.2021;Aachen;1011.4;0.5
13.07.2021;Aachen;1009.6;25.2
14.07.2021;Aachen;1010.6;43.8
15.07.2021;Aachen;1013.6;23.6
16.07.2021;Aachen;1021.7;2.5
17.07.2021;Aachen;1024.8;0
18.07.2021;Aachen;1023.5;0
19.07.2021;Aachen;1021.6;0
20.07.2021;Aachen;1021.3;0
21.07.2021;Aachen;1022.9;0
22.07.2021;Aachen;1022.2;0
23.07.2021;Aachen;1017.3;0
24.07.2021;Aachen;1009.6;5.7
25.07.2021;Aachen;1009;0
26.07.2021;Aachen;1010.6;1.6
27.07.2021;Aachen;1012.4;1.7
28.07.2021;Aachen;1011.3;0
29.07.2021;Aachen;1012.4;0
30.07.2021;Aachen;1009.4;0
31.07.2021;Aachen;1009.2;0
01.08.2021;Aachen;1010.9;3.4
02.08.2021;Aachen;1014.4;3
03.08.2021;Aachen;1013.7;10.2
04.08.2021;Aachen;1013.6;0
05.08.2021;Aachen;1009.4;0
06.08.2021;Aachen;1003.9;4.7
07.08.2021;Aachen;1003.6;2.8
08.08.2021;Aachen;1009.5;0
09.08.2021;Aachen;1016;2.9
10.08.2021;Aachen;1017.1;0
11.08.2021;Aachen;1019.6;0
12.08.2021;Aachen;1019.9;0
13.08.2021;Aachen;1021.4;0
14.08.2021;Aachen;1021.6;0
15.08.2021;Aachen;1015;0
16.08.2021;Aachen;1013.6;4.2
17.08.2021;Aachen;1018.8;3.5
18.08.2021;Aachen;1016.7;1.4
19.08.2021;Aachen;1015.3;0
20.08.2021;Aachen;1017.2;0
21.08.2021;Aachen;1017.6;0.8
22.08.2021;Aachen;1016.7;10
23.08.2021;Aachen;1022.5;0
24.08.2021;Aachen;1026.3;0
25.08.2021;Aachen;1023.1;0
26.08.2021;Aachen;1016.4;0
27.08.2021;Aachen;1018.5;2.3
28.08.2021;Aachen;1019.9;7.4
29.08.2021;Aachen;1020.1;12.2
30.08.2021;Aachen;1020;0.9
31.08.2021;Aachen;1024.5;0
01.09.2021;Aachen;1028.1;0
02.09.2021;Aachen;1026.2;0
03.09.2021;Aachen;1020.7;0
04.09.2021;Aachen;1017.8;0
05.09.2021;Aachen;1020.1;0
06.09.2021;Aachen;1023.5;0
07.09.2021;Aachen;1023.1;0
08.09.2021;Aachen;1016.5;0
09.09.2021;Aachen;1011.6;0
10.09.2021;Aachen;1013.4;3.8
11.09.2021;Aachen;1017.3;0
12.09.2021;Aachen;1018.9;0
13.09.2021;Aachen;1018.5;0
14.09.2021;Aachen;1014.2;0
15.09.2021;Aachen;1012.1;6
16.09.2021;Aachen;1017.3;0
17.09.2021;Aachen;1017;0
18.09.2021;Aachen;1016.3;0
19.09.2021;Aachen;1014.6;0
20.09.2021;Aachen;1019.7;0
21.09.2021;Aachen;1028.8;0
22.09.2021;Aachen;1028.8;0
23.09.2021;Aachen;1020.8;0
24.09.2021;Aachen;1017.7;0
25.09.2021;Aachen;1016.3;0
26.09.2021;Aachen;1015.3;0
27.09.2021;Aachen;1015.9;1.3
28.09.2021;Aachen;1022.1;0
29.09.2021;Aachen;1018.3;3
30.09.2021;Aachen;1025.8;0
01.10.2021;Aachen;1017.3;0.7
02.10.2021;Aachen;1009;2.4
03.10.2021;Aachen;1000.7;10.5
04.10.2021;Aachen;1015.5;0
05.10.2021;Aachen;1008.5;1.7
06.10.2021;Aachen;1015.1;4.1
07.10.2021;Aachen;1026.7;0
08.10.2021;Aachen;1030.1;0
09.10.2021;Aachen;1028.6;0
10.10.2021;Aachen;1027.3;0
11.10.2021;Aachen;1027.3;0
12.10.2021;Aachen;1022.7;4.8
13.10.2021;Aachen;1026.1;0
14.10.2021;Aachen;1025.6;0
15.10.2021;Aachen;1019.6;0
16.10.2021;Aachen;1022.6;0
17.10.2021;Aachen;1021.2;0
18.10.2021;Aachen;1022.4;0
19.10.2021;Aachen;1018.4;2.6
20.10.2021;Aachen;1007.6;1.2
21.10.2021;Aachen;1002.5;13.4
22.10.2021;Aachen;1018.7;0
23.10.2021;Aachen;1027.1;0
24.10.2021;Aachen;1024.4;0
25.10.2021;Aachen;1019.5;0
26.10.2021;Aachen;1021.3;0
27.10.2021;Aachen;1023.6;0
28.10.2021;Aachen;1017.5;0
29.10.2021;Aachen;1008.8;0
30.10.2021;Aachen;1004;3.7
31.10.2021;Aachen;1003;4.4
01.11.2021;Aachen;1000.6;0.2
02.11.2021;Aachen;1000.7;3
03.11.2021;Aachen;1001.5;3.9
04.11.2021;Aachen;1007.7;1.1
05.11.2021;Aachen;1022.8;0
06.11.2021;Aachen;1027.9;0
07.11.2021;Aachen;1019.2;0.6
08.11.2021;Aachen;1023.7;0
09.11.2021;Aachen;1026.9;0
10.11.2021;Aachen;1025.4;0
11.11.2021;Aachen;1025.1;0
12.11.2021;Aachen;1018.5;0
13.11.2021;Aachen;1012.9;4
14.11.2021;Aachen;1021.4;0
15.11.2021;Aachen;1025.6;0
16.11.2021;Aachen;1023.4;0
17.11.2021;Aachen;1023;0
18.11.2021;Aachen;1029.7;0
19.11.2021;Aachen;1030.8;0
20.11.2021;Aachen;1025.6;0
21.11.2021;Aachen;1014.5;1.6
22.11.2021;Aachen;1025.1;0
23.11.2021;Aachen;1030.7;0
24.11.2021;Aachen;1022.9;0
25.11.2021;Aachen;1012.7;0
26.11.2021;Aachen;998.3;2.4
27.11.2021;Aachen;989.7;2.8
28.11.2021;Aachen;998.3;0.4
29.11.2021;Aachen;1009.3;1.2
30.11.2021;Aachen;1010.1;11.9
01.12.2021;Aachen;997.7;11.2
02.12.2021;Aachen;1004.2;2.4
03.12.2021;Aachen;1009.7;0.3
04.12.2021;Aachen;997.8;7
05.12.2021;Aachen;1002.9;0.7
06.12.2021;Aachen;1012.3;2.6
07.12.2021;Aachen;1006.4;2.7
08.12.2021;Aachen;998.2;1.4
09.12.2021;Aachen;1004.5;0.4
10.12.2021;Aachen;995.1;4.4
11.12.2021;Aachen;1015.3;0.3
12.12.2021;Aachen;1023.6;5.1
13.12.2021;Aachen;1027.9;0
